,THIRD,Conv1D,Gabor1D,MuReNN
0,81.99113305483293,20.745337349489237,1.1741503908395827,0.06648753428939645
1,81.99113305483293,20.053171492772336,1.20770809696649,0.026342091266795566
2,81.9911330548328,23.905429462068323,1.1906125928176123,0.008345450292005833
3,81.991133054833,23.270185183705223,0.7840845012681658,0.011523558489693152
4,81.991133054833,22.83553226633491,0.7822426320298738,0.031115510540890262
5,81.99113305483274,24.394961136765613,0.7694395840635659,0.04471953055192516
6,81.99113305483296,23.177669445937966,0.5544595275908871,0.0879873695584687
7,37.5382148325772,20.74342997744708,0.3976393720695265,0.11806091428528571
8,27.988360929662257,19.86129714227016,0.2979567889906246,0.1814491921660748
9,21.250332835748043,17.43918626825055,0.2455218658437185,0.3167917193943474
10,11.300328472072463,12.802218413893312,0.1914633143544567,0.4701845557852491
11,6.963848402861678,8.894429047216793,0.20373416558391455,0.776359387128807
12,4.727878769761919,7.155929249472268,0.16964379945334163,1.1707035329850795
13,3.0979335215067114,6.319612395276275,0.1444189742768538,1.7204433673273225
14,1.7421757870568073,5.102583379089407,0.1102818901302679,3.091977515801681
15,1.181596230652678,5.756617953438518,0.08488338811018133,4.96241359521016
16,0.774354016868315,5.391435980343161,0.0664566425793426,6.778936495738489
17,0.43558146738091086,5.148960990520781,0.0618002070222458,12.142510629355908
18,0.27877380904461246,4.352727037436456,0.048233019564339445,21.291221411188957
19,0.1935934353440901,4.557924983086267,0.031791033288355315,27.092437646574073
20,0.11931187507550807,4.409826976754132,0.02550888347585906,43.965941327801815
21,0.07070032032074702,3.3828529338052626,0.017860002747924476,68.06249643129287
22,0.04617359606910132,3.915612121245057,0.012200792656256926,83.2223590154012
23,0.029827931348967794,4.2425304957609775,0.009028806470683638,95.64556908772762
24,0.01754859680560178,4.705026179281905,0.0078038347771299706,126.99938214384368
25,0.011543403291985374,6.0114713005012534,0.007023798417265358,160.15260325460835
26,0.007818045625821965,6.132269554689444,0.006615192377058144,174.74246934564277
27,0.004402915897270972,6.400107174392966,0.006525049617487841,186.299215012336
28,0.002811805152140098,5.53386037818242,0.0030962107135989155,261.5964922703773
29,0.001821440510833687,4.851641617974073,0.0014624893950804317,317.2869324722978
30,0.00941024294065017,4.566819380665724,0.0010059561248158542,319.54300220210325
